4	1169776	983363	1136950	1171923	1176799
8	2110562	1879327	1947399	1185533	2118275
12	3116468	2898858	2070124	1747912	2993660
16	3890321	4346405	2398040	2921008	4339354
20	4752518	8326111	2463803	2965441	4495330
24	5704957	10078262	3023461	2369238	5264251
28	6774244	10934464	3908248	3363607	6499926
32	8416587	11781289	4499764	5808712	8720495
36	10593525	13009078	4621802	7583893	9047460
40	12302407	13766902	5809898	9912581	11741024
44	14070835	14530667	8960609	12072027	11119184
48	15156459	14794621	9226319	13832274	14312785
52	16287730	15176856	9684985	14603362	15377745
56	17623270	15769345	12499006	15386671	16962279
60	18179278	16140975	12744238	16018406	17595371
64	18277612	16037899	13240726	15305488	18125565
68	18636272	16720813	13966798	17851840	17723453
72	18534490	16935241	14063033	16633077	18280140
76	18847161	17126132	14301514	16595175	18454076
80	19267232	17496675	14476091	16974023	19164135
84	19317332	17710529	16163864	16318851	18696644
88	19258957	17538552	16180212	17668181	19502341
92	19419872	17605198	16386429	17108761	18841767
96	20080603	18243700	17178542	17861871	19742753
100	20124528	18198517	18178542	19102576	20051392
