4	1348.66973876953	1352.69091796875	1459.37176513672	1426.03240966797	1453.96630859375
8	2678.83148193359	2611.86260986328	2706.83502197266	2736.15814208984	2659.59033203125
12	4040.40740966797	3973.37347412109	4105.92932128906	4063.3095703125	3967.21282958984
16	5008.34143066406	5070.08947753906	5068.97552490234	5341.4853515625	5419.63775634766
20	6282.64898681641	6160.17395019531	6434.42718505859	6381.66741943359	6310.24530029297
24	7998.20056152344	7251.56884765625	8284.62756347656	8346.52398681641	7157.67999267578
28	7946.97180175781	7822.53497314453	8230.54309082031	8377.17437744141	8073.54437255859
32	10288.5064086914	8816.52679443359	10541.5607299805	10764.080078125	10356.1626586914
36	10228.4022827148	9669.44592285156	11336.9388427734	10960.9495239258	10873.9460449219
40	10382.8435668945	10597.2867431641	11506.1259765625	11114.1493530273	10881.8218994141
44	11356.1272583008	11593.9118041992	11928.018371582	12243.7261352539	12538.5349121094
48	12995.5530395508	13531.7421875	13973.1772460938	14073.0056152344	12557.7603149414
52	13546.3547973633	15160.7230224609	13509.891784668	14141.7557983398	13535.8643798828
56	14997.2818603516	14047.3850708008	14601.6112670898	15178.2077636719	15837.2111206055
60	14413.6662597656	16485.5951538086	17013.6534423828	15325.1958618164	14985.6918945312
64	16007.9477539062	14488.1498413086	17248.8732910156	17227.4239501953	16146.5090332031
68	16482.8518676758	16477.9444580078	17256.3673706055	17485.6151123047	15933.056640625
72	16953.0704956055	17599.2576293945	17988.4359741211	18217.1782836914	18197.785949707
76	17292.8507080078	18785.8768310547	18744.6328735352	18276.2255249023	19469.7031860352
80	18217.7596435547	18158.9360961914	18507.9356079102	20525.0650024414	19552.7489624023
84	18832.6421508789	18747.8026123047	19653.7749633789	19633.8913574219	18629.7048950195
88	18757.895690918	19012.3545532227	20232.7596435547	20691.0943603516	20494.0703735352
92	19482.7410888672	19349.9465942383	20895.2537841797	20873.046081543	19511.5604858398
96	19772.4346923828	19540.964050293	19749.5772094727	20310.688293457	19662.4144897461
100	19891.5756225586	20841.8323364258	21742.815246582	20272.5664672852	19019.7596435547
