0	388	945	573	945	960	950
100	342	944	567.15	820	955	890
200	364	944	595.7	750	953	850
300	307	945	543.3	630	960	780
400	318	945	563.55	570	950	730
500	206	944	502.9	406	960	635.7
600	77.3	945	453.265	431	942	615.75
700	37.5	945	469.075	416	564	506.4
800	153	944	502.4	415	584	484.7
900	2.36	945	404.6545	416	624	500.8
1000	0.2	945	324.438	400	582	491.7
