4	698462	706287	675977	137028	715366
8	1246099	1344610	1293583	681972	1245661
12	1863588	1850568	1864013	1074802	1864062
16	2573187	2471159	2754879	1262626	2469299
20	3382828	3049951	3118692	1579093	3038078
24	3681500	4241500	3305336	1869935	3846415
28	4446686	4497205	4704419	2215776	6279838
32	6106804	6519986	5859850	2644426	6468386
36	8142393	8405326	6369799	3388371	8105504
40	10141070	9468637	6395084	5540664	10198349
44	11340016	10253658	7059776	7020169	12116119
48	12120559	11900619	7558192	8640050	12863162
52	14115140	13624984	7622030	10250678	15071901
56	15348352	16181137	9150487	10691431	16482530
60	16722576	16522756	9640065	13169799	17279486
64	16830191	16879336	9641175	14011593	17330600
68	17255708	17184340	9675835	14433405	17531446
72	17620425	17429513	10512321	14566483	17639045
76	17700780	17843098	10600559	14762275	17697587
80	17973418	17897754	13197784	15060428	18155615
84	18189040	18243227	15020752	15209449	18184599
88	18300054	18272153	16010556	15932404	18800314
92	18529442	19083508	16158219	16236133	18831756
96	19420626	19265124	16204712	16478156	19382172
100	19704149	19320336	17191478	16653617	19615211
